drucksache;datum_anfrage;datum_drucksache;titel;urheber;fraktionen;fragen;einzelfragen;seiten;format_erkannt;beantwortet;vorgang;datei
21/8204;2017-03-02;2017-03-10;Spurloses Verschwinden einer 17-Jährigen – Videoüberwachung am Hamburger Flughafen;Dennis Gladiator;CDU;7;11;2;True;True;52051;21_08204_spurloses_verschwinden_einer_17_jaehrigen_videoueberwachung_am_hamburger_flughafen.md
21/8205;2017-03-02;2017-03-10;Schuldaten 2016/2017 – Erstes Halbjahr (Unterrichtsausfall) (II);Karin Prien;CDU;8;8;68;True;True;52052;21_08205_schuldaten_2016_2017_erstes_halbjahr_unterrichtsausfall_ii.md
21/8206;2017-03-02;2017-03-10;Überlässt der Senat die Gummifabrik im Harburger Binnenhafen endgültig dem Verfall und den Umgang mit den krebserregenden Substanzen im Mauerwerk dem Zufall?;Birgit Stöver;CDU;7;12;2;True;True;52053;21_08206_ueberlaesst_der_senat_die_gummifabrik_im_harburger_binnenhafen_endgueltig_dem_verfall_und_den_umgang_.md
21/8207;2017-03-02;2017-03-10;Werden von Rot-Grün die Daten zur Wirtschaftlichkeit einzelner Kundenzentren bewusst manipuliert?;Thilo Kleibauer;CDU;10;19;4;True;True;52054;21_08207_werden_von_rot_gruen_die_daten_zur_wirtschaftlichkeit_einzelner_kundenzentren_bewusst_manipuliert.md
21/8208;2017-03-02;2017-03-10;Beschäftigte in den Präsidialstäben – Aktueller Sachstand;Richard Seelmaecker;CDU;7;11;19;True;True;52055;21_08208_beschaeftigte_in_den_praesidialstaeben_aktueller_sachstand.md
21/8209;2017-03-02;2017-03-10;Wo bleiben die vom Senat versprochenen 50 neuen Bauprüfer in den Bezirksämtern?;Birgit Stöver;CDU;9;13;4;True;True;52056;21_08209_wo_bleiben_die_vom_senat_versprochenen_50_neuen_baupruefer_in_den_bezirksaemtern.md
21/8210;2017-03-02;2017-03-10;Damit die Integration gelingt – Nutzt rot-grüner Senat endlich die Chancen der zur Verfügung stehenden Arbeitsmarktprogramme für Flüchtlinge? (II);Karin Prien;CDU;17;33;6;True;True;52057;21_08210_damit_die_integration_gelingt_nutzt_rot_gruener_senat_endlich_die_chancen_der_zur_verfuegung_stehende.md
21/8211;2017-03-02;2017-03-10;Lässt Senat Hamburger Institut für Berufliche Bildung (HIBB) mit Flüchtlingsmehrkosten überwiegend allein?;Karin Prien;CDU;7;13;3;True;True;52058;21_08211_laesst_senat_hamburger_institut_fuer_berufliche_bildung_hibb_mit_fluechtlingsmehrkosten_ueberwiegend_.md
21/8228;2017-03-03;2017-03-10;Auswirkungen des neuen Gastschulabkommens zwischen Hamburg und Schleswig-Holstein – Wie ist die Lage?;Karin Prien;CDU;11;25;5;True;True;52059;21_08228_auswirkungen_des_neuen_gastschulabkommens_zwischen_hamburg_und_schleswig_holstein_wie_ist_die_lage.md
21/8229;2017-03-03;2017-03-10;Wie ernst nimmt es der grüne Justizsenator mit der Ressourcenschonung und Mülltrennung in Hamburgs Justizvollzugsanstalten?;"Richard Seelmaecker; Stephan Gamm";CDU;3;9;5;True;True;52060;21_08229_wie_ernst_nimmt_es_der_gruene_justizsenator_mit_der_ressourcenschonung_und_muelltrennung_in_hamburgs_.md
